sigma,cip_bps,invp,regime
0.0112337180763263,-138.983020052483,2.38042358022194e-10,1
0.0122829241694377,-138.983879598953,1.54318074261217e-09,1
0.0134301239471282,-138.984761880253,3.28337439121588e-09,1
0.0146844698173761,-138.985666612199,6.68835443060508e-09,1
0.0160559690041831,-138.986594920291,1.34427567006818e-08,1
0.0175555633856282,-138.987548027352,2.65739042357689e-08,1
0.0191952167886294,-138.988527260738,5.16775978299974e-08,1
0.0209880104368576,-138.989534063487,9.88623999903098e-08,1
0.0229482473132879,-138.990570006764,1.86070389649754e-07,1
0.0250915662699982,-138.991636803392,3.44579238634053e-07,1
0.0274350667955873,-138.992736322956,6.27950219283397e-07,1
0.029997445435613,-138.993870608362,1.1262968917649e-06,1
0.0327991449544168,-138.995041894092,1.98860350677927e-06,1
0.0358625174283566,-138.996252626563,3.4569803183668e-06,1
0.0392120025716095,-138.997505486413,5.9182851594466e-06,1
0.0428743227172372,-138.998803413194,9.98056760709074e-06,1
0.0468786960090815,-139.000149632222,1.65844496950943e-05,1
0.0512570695053416,-139.001547683827,2.71630885236594e-05,1
0.0560443740535457,-139.003001454275,4.38692245006516e-05,1
0.0612788029703184,-139.004515207779,6.98949058503413e-05,1
0.0670021167492642,-139.006093617724,0.000109920665366388,1
0.0732599762279382,-139.007741793974,0.000170750315116623,1
0.0801023068719243,-139.009465300435,0.00026222529230692,1
0.0875836970822959,-139.011270153472,0.000398599542001482,1
0.0957638337041702,-139.013162783259,0.000600805010240823,1
0.104707978210864,-139.015149928808,0.000900870346184942,1
0.114487487362668,-139.017238413855,0.00135252199249117,1
0.125180382494073,-139.019434712171,0.00205978775964938,1
0.136871971971254,-139.02174409452,0.00325114049578371,1
0.149655531785795,-124.902614353705,0.0054403208343637,1
0.163633049714466,-105.656366025926,0.00967784760783598,1
0.178916038981984,-85.4647976545786,0.0177283510193291,1
0.195626427918204,-65.238715114242,0.031731915754763,1
0.213897532707449,-45.4194357735172,0.0528762148441509,1
0.233875120990628,-26.2558897610921,0.0793563806308363,1
0.255718574805589,-7.89490703046236,0.105235196092428,1
0.279602162143712,9.57863384591584,0.12215519148364,1
0.305716427267253,26.1204621596201,0.123773997382402,1
0.334269710879472,41.7141473703608,0.109768083870047,1
0.365489812275502,56.3628073216971,0.0859437951999111,1
0.399625806734694,70.0834023901831,0.0604100250049314,1
0.436950032653645,82.9026475417116,0.0391926630305873,1
0.477760264273357,94.8540024774791,0.0244211065469951,1
0.522382087334636,105.975416446958,0.0152867750972665,1
0.57117149661479,116.307621620453,0.00993844629135707,1
0.624517736068911,125.892836541907,0.00676416923894316,1
0.682846404234484,134.773782393076,0.00476037196031087,1
0.746622849674384,142.992941220558,0.00340572222397485,1
0.816355883547238,150.592003021338,0.00244634532041614,1
0.892601838924214,157.611460998849,0.00175184564793432,1
0.975969009237605,164.090323304982,0.00124597128575694,1
1.06712250127137,170.065916309062,0.000878250582359224,1
1.16678954141098,175.573759575124,0.000612655760284292,1
1.27576527748601,180.64749673344,0.000422530243806767,1
1.39491912249295,185.318869591725,0.000287870044770957,1
1.52520169080855,189.617725350188,0.000193621232861731,1
1.66765238223123,193.572048805574,0.000128497792574554,1
1.82340767435629,197.208013057548,8.41064113550952e-05,1
1.99371018944187,200.550043548198,5.427327861904e-05,1
2.17991860810149,203.620891329671,3.4516102278824e-05,1
2.383518508915,206.441712318548,2.16276618994574e-05,1
2.60613422043687,209.032149992302,1.33486665988773e-05,1
2.84954178015753,211.410419548564,8.113486271247e-06,1
3.11568310380507,213.593392002447,4.85545310450481e-06,1
3.40668147803039,215.596677063766,2.86038839147203e-06,1
3.72485850007723,217.434703930727,1.6585228729173e-06,1
4.07275259958242,219.12079937168,9.4635593749492e-07,1
4.45313929027412,220.667262654352,5.31332513231443e-07,1
4.86905331313673,222.085437030818,2.93499026593299e-07,1
5.32381284770197,223.385777602928,1.59490271278509e-07,1
5.82104598462438,224.577915485719,8.52547375906913e-08,1
6.36471967074085,225.670718255642,4.483097389793e-08,1
6.95917135753902,226.672346725737,2.31799365322998e-08,1
7.60914360552729,227.590308130188,1.18480732344724e-08,1
8.31982192058161,228.431505847102,5.72133779048013e-09,1
9.09687612412904,229.202295526899,7.83860428921481e-10,1
0.0112337180763263,-139.038259645377,1.40491974756619e-08,2
0.0122829241694377,-139.038410223348,1.40855368835144e-08,2
0.0134301239471282,-139.038563276011,2.72462828877452e-08,2
0.0146844698173761,-139.038718765994,5.17749333216593e-08,2
0.0160559690041831,-139.038876796065,9.66515415297704e-08,2
0.0175555633856282,-139.039037478532,1.77244795117335e-07,2
0.0191952167886294,-139.039200935996,3.19309756223063e-07,2
0.0209880104368576,-139.039367302378,5.65097531322165e-07,2
0.0229482473132879,-139.039536724319,9.82439246629779e-07,2
0.0250915662699982,-139.039709362403,1.67786739659458e-06,2
0.0274350667955873,-139.03988539271,2.81499609651091e-06,2
0.029997445435613,-139.040065008574,4.63943196387673e-06,2
0.0327991449544168,-139.040248422303,7.51133845385972e-06,2
0.0358625174283566,-139.040435867274,1.19463175807034e-05,2
0.0392120025716095,-139.04062760013,1.86643867008888e-05,2
0.0428743227172372,-139.040823903331,2.86454153835467e-05,2
0.0468786960090815,-139.041025087757,4.31874039804491e-05,2
0.0512570695053416,-139.041231495691,6.39614864319507e-05,2
0.0560443740535457,-139.041443503901,9.30547253656119e-05,2
0.0612788029703184,-139.041661526801,0.000132989017202124,2
0.0670021167492642,-139.041886019634,0.00018670230403728,2
0.0732599762279382,-139.042117481157,0.00025747751059555,2
0.0801023068719243,-139.042356455488,0.000348805955074243,2
0.0875836970822959,-139.042603531777,0.000464176089859405,2
0.0957638337041702,-139.042859340548,0.000606785685123543,2
0.104707978210864,-139.043124543102,0.000779185849116826,2
0.114487487362668,-139.043399809266,0.000982877794532217,2
0.125180382494073,-139.04368577398,0.00121789649542584,2
0.136871971971254,-139.043982952243,0.00148242718182294,2
0.149655531785795,-131.455374694054,0.00177250847096583,2
0.163633049714466,-112.256066854994,0.00208187738876806,2
0.178916038981984,-91.3745316603376,0.0024020047615818,2
0.195626427918204,-70.2428558631341,0.00272235378156908,2
0.213897532707449,-49.4695595373851,0.00303087084986854,2
0.233875120990628,-29.3789446229376,0.00331468864931389,2
0.255718574805589,-10.1553798542431,0.003560990825094,2
0.279602162143712,8.0979581894991,0.00375796056309053,2
0.305716427267253,25.3294290895212,0.00389571665787598,2
0.334269710879472,41.5217806101498,0.00396713427557052,2
0.365489812275502,56.6812862496713,0.00396845559367698,2
0.399625806734694,70.8304235676638,0.0038996174673297,2
0.436950032653645,84.0027288709533,0.00376425634953167,2
0.477760264273357,96.2390821753301,0.00356938994293646,2
0.522382087334636,107.584980877863,0.0033248143795933,2
0.57117149661479,118.088522863435,0.00304228899927449,2
0.624517736068911,127.798912416286,0.0027346030576176,2
0.682846404234484,136.765358549209,0.00241462701849768,2
0.746622849674384,145.0362714291,0.00209444504632634,2
0.816355883547238,152.658686844618,0.00178464691657447,2
0.892601838924214,159.677865672437,0.00149383068699304,2
0.975969009237605,166.137027625706,0.00122833700001572,2
1.06712250127137,172.0771877428,0.000992206719350163,2
1.16678954141098,177.537071038962,0.000787329786776143,2
1.27576527748601,182.553086108702,0.000613737315922056,2
1.39491912249295,187.159342646329,0.000469981936215057,2
1.52520169080855,191.387701126732,0.00035355262517261,2
1.66765238223123,195.267845471848,0.000261277922673821,2
1.82340767435629,198.827371565637,0.000189683082950601,2
1.99371018944187,202.091886095509,0.000135279880363593,2
2.17991860810149,205.08511147278,9.47802893953724e-05,2
2.383518508915,207.828993594638,6.52355807243408e-05,2
2.60613422043687,210.343810006337,4.41097073561642e-05,2
2.84954178015753,212.648276649408,2.93000526641595e-05,2
3.11568310380507,214.759651873664,1.91200323236532e-05,2
3.40668147803039,216.693836777216,1.22573398626032e-05,2
3.72485850007723,218.465471237211,7.71956049325538e-06,2
4.07275259958242,220.088025226889,4.7761612728158e-06,2
