source,ll,mu_nor,mu_scr,sep,rho_nor,rho_scr,sig_nor,sig_scr,P11,P22,mode
x0=cbase_raw,332.3100671382923,-1.4636003894728866,-1.339997839472215,0.12360255000067166,0.9710293651895985,0.23200895402313676,0.04276392721461128,0.6122514608559354,0.9919103131413166,0.8983057394197801,332.31_0.12
x0=cbase_shifted,332.31345909836773,-1.4593723435559238,-1.340029890986388,0.1193424525695359,0.9711730232146927,0.23416309037569089,0.04276291523960424,0.6122130796067956,0.9919121805600367,0.8983276173059009,332.31_0.12
seed0,332.32516756437985,-1.4521927274840296,-1.3402792446264185,0.11191348285761116,0.9729796965635604,0.23230360953488557,0.04275816772007899,0.6120581782759553,0.9919276239210212,0.8985704469418778,332.33_0.11
seed1,332.32333856074547,-1.4588603558037918,-1.3401361857682976,0.11872417003549418,0.9719217305803476,0.23175656748038947,0.04275977292564603,0.6121834360487663,0.9919171561505745,0.8984024133829953,332.32_0.12
seed3,30.361472352096765,-0.2250949655342516,-1.5117726192264584,-1.2866776536922069,0.8468487958193294,0.8040747996727495,0.11698685700030657,0.21167789655226335,0.5513951312929531,1.0,30.36_-1.29
seed4,332.32083587028364,-1.4579156496548722,-1.3400590196757456,0.1178566299791266,0.9716625064648096,0.23215050484963629,0.04276071305489144,0.612173858787608,0.9919155420913497,0.8983679132733184,332.32_0.12
seed5,332.29693136866405,-1.461403487544875,-1.339872993564454,0.12153049398042093,0.9704462373883743,0.23186533354559552,0.04276779748126608,0.61231579337556,0.9919013046057672,0.898187129547633,332.3_0.12
seed6,332.32318944172255,-1.4591483043892,-1.3402323478757818,0.11891595651341813,0.9719089933496001,0.23215711336230038,0.04276009213102291,0.6121734721469066,0.9919192148227823,0.8984145249591963,332.32_0.12
seed12,332.32241948946603,-1.4505119293562407,-1.3403694511502984,0.11014247820594236,0.9733407390400739,0.23237365223495887,0.04275780634199234,0.6119984676315875,0.9919306865270748,0.8986515862726956,332.32_0.11
seed14,332.3230253284166,-1.4590511491552545,-1.3400899363629375,0.11896121279231697,0.971887241889398,0.23214920588505383,0.04276055811689618,0.6121681468661585,0.9919164386540169,0.8984138120021217,332.32_0.12
seed15,332.31961847833065,-1.4606688306302633,-1.3400716724846795,0.1205971581455838,0.9715873559208051,0.23218145880937918,0.04276179476028624,0.6121836366196073,0.9919153414435431,0.8983544220614732,332.32_0.12
seed16,332.3228936673582,-1.4591185320115152,-1.3400962227591315,0.11902230925238366,0.9718731453987084,0.2321153099519388,0.0427600597350781,0.6121405363446263,0.991916931173189,0.8983881613616842,332.32_0.12
seed17,332.32626555443903,-1.4551347017096687,-1.340239914203872,0.11489478750579685,0.9725641304983056,0.23089990742984745,0.042758435010914954,0.6121057210780765,0.9919213791644445,0.8985019006266022,332.33_0.11
seed25,332.3183207859151,-1.4486129501133571,-1.3402763347226272,0.10833661539072992,0.9736735111098127,0.232704049709063,0.04275852368816379,0.611982641599578,0.9919355229150896,0.898675700626182,332.32_0.11
seed28,332.3233122743188,-1.4514757055743441,-1.3403502030359304,0.11112550253841369,0.9732537451953738,0.2323490561536224,0.04275766952454538,0.6120023333958785,0.9919298152064957,0.898632929847763,332.32_0.11
seed34,332.3216685866107,-1.4499919815592577,-1.340389803322227,0.10960217823703067,0.9734095148097606,0.23234326425481797,0.042757616824510125,0.6119874308149879,0.9919312901191377,0.8986657652030178,332.32_0.11
seed35,332.3234161093345,-1.4587616581214176,-1.3401039769547045,0.11865768116671305,0.9719293641270975,0.23212407952796327,0.04276028838126933,0.6121815222899382,0.9919161788909536,0.8984018203209619,332.32_0.12
seed36,332.3224632497271,-1.4505358466814726,-1.3403449286029965,0.11019091807847614,0.9733363990774463,0.23235637305216889,0.04275805772786374,0.6120187759206943,0.9919312071033796,0.8986228086147982,332.32_0.11
seed39,332.32048666196397,-1.4496229845008863,-1.3403201419095732,0.10930284259131318,0.9735140322148608,0.2322320944350734,0.04275827981286129,0.611968412931899,0.9919329159143611,0.8986537977211998,332.32_0.11
seed40,332.3220649696973,-1.4502943032675033,-1.3403513674848573,0.10994293578264602,0.9733746015909647,0.23235957469748536,0.042758200053800294,0.6120145265475242,0.991931248323957,0.8986567789294572,332.32_0.11
seed41,332.3190910426215,-1.460920952516439,-1.3400418384392752,0.1208791140771639,0.9715495571167752,0.23201353834586325,0.04276207630408675,0.6121642859889153,0.9919126832303256,0.8983605854850619,332.32_0.12
seed42,332.319492077825,-1.4582328774359836,-1.3400427241765822,0.11819015325940141,0.9715553477847245,0.23171348936719804,0.042761868595617446,0.6122144962328374,0.9919139889713254,0.8983802058702179,332.32_0.12
seed45,332.3262753629337,-1.4549620262538407,-1.340229240311662,0.11473278594217873,0.9726219733483136,0.23226360169265442,0.04275819309438598,0.6120864468787244,0.9919232781215405,0.8985211582367455,332.33_0.11
seed47,332.32628387370806,-1.4550477606870391,-1.3403137716291698,0.11473398905786936,0.9725929992784341,0.2320247082752076,0.042758321064983604,0.6120945483279171,0.991922793990813,0.8985155386539874,332.33_0.11
seed0_rsem10,332.32516756437985,-1.4521927274840296,-1.3402792446264185,0.11191348285761116,0.9729796965635604,0.23230360953488557,0.04275816772007899,0.6120581782759553,0.9919276239210212,0.8985704469418778,332.33_0.11
seed1_rsem10,332.32333856074547,-1.4588603558037918,-1.3401361857682976,0.11872417003549418,0.9719217305803476,0.23175656748038947,0.04275977292564603,0.6121834360487663,0.9919171561505745,0.8984024133829953,332.32_0.12
seed2_rsem10,332.31415177640787,-1.446544660670728,-1.3404015278943686,0.10614313277635934,0.9739204626224934,0.23265452939682887,0.042758756479004977,0.6119170162063725,0.99193608776146,0.8987579058257847,332.31_0.11
seed3_rsem10,332.3239283304589,-1.4516518348759462,-1.3402435863073385,0.11140824856860765,0.9731766539067771,0.2325527597784261,0.04275746445221858,0.6120168910344514,0.9919291224055823,0.8986168618318431,332.32_0.11
seed4_rsem10,332.32083587028364,-1.4579156496548722,-1.3400590196757456,0.1178566299791266,0.9716625064648096,0.23215050484963629,0.04276071305489144,0.612173858787608,0.9919155420913497,0.8983679132733184,332.32_0.12
