sigma_us,sigma_eu,mu_us,mu_eu,lcr_us
0.166916990607309,0.290382580431922,-2.41807317909443,-1.80063082192832,6.2
0.169319401706534,0.288276159864623,-2.37579757750748,-1.79820780665355,6.2
0.180659335300665,0.283036098217068,-2.43179914416676,-1.7978374099718,6.2
0.17633920407466,0.293817924899999,-2.42728222991441,-1.80832048166872,6.2
0.179475912349903,0.284641177445272,-2.36975457673499,-1.77124334944326,6.2
0.177936082065211,0.304871701497005,-2.35840143145162,-1.7587118316612,6.2
0.170676597239846,0.302347707406974,-2.35248933497955,-1.75956660795355,6.2
0.181299442662665,0.279093572001061,-2.25740714050147,-1.79336120401627,6.2
0.173378912216472,0.266764874214546,-2.26891492160534,-1.77892898228358,6.2
0.189802872746428,0.286997136677095,-2.20056055533346,-1.80895798866354,6.2
0.201181784868168,0.288307542915933,-2.17883202987067,-1.78968953301702,6.2
0.204313340861579,0.293195202351859,-2.17171337033474,-1.76813792517877,6.2
0.206245704886693,0.292202029759453,-2.16693287906932,-1.7596012954654,6.2
0.209793101213272,0.283760136557807,-2.13735389161558,-1.77824654103658,6.2
0.215769770142837,0.28143134375329,-2.09562563608015,-1.7789586836145,6.2
0.227324933690194,0.271769696099142,-2.05372556307986,-1.80025087549903,6.2
0.231038182067805,0.276160401069284,-2.0321506613684,-1.78830959317684,6.2
0.254812905623938,0.279901319176282,-1.93924475284684,-1.77297262178766,6.2
0.254340853335779,0.271956079013889,-1.93486579165324,-1.80541978466588,6.2
0.272910615900971,0.273633228431056,-1.87768591268551,-1.81136541080731,6.2
0.287264380957278,0.283527632236638,-1.82674390706356,-1.78947355900926,6.2
0.279263578216307,0.286360466205156,-1.84012780880287,-1.80772807879724,6.2
0.294320582535251,0.284929829232396,-1.81499704724917,-1.8070826517488,6.2
0.293347632297922,0.277697666704932,-1.81872550876806,-1.79627697815116,6.2
0.285881861243333,0.288354318594311,-1.84118163444923,-1.76910578442624,6.2
0.309915057171197,0.28423102544842,-1.74965294996322,-1.77007559789143,6.2
0.302724627223862,0.291201551811401,-1.76733030180871,-1.76834796567499,6.2
0.314397712029122,0.286669595105701,-1.74277346824147,-1.79176320719306,5.8
0.33699876032862,0.293189011182012,-1.70024286016729,-1.74306047824391,5.4
0.354318930008521,0.295699261019991,-1.61990593263971,-1.73847932404836,5
0.349831066720664,0.284483971275296,-1.649366166114,-1.76548001040984,4.9
0.346158324997154,0.282743059904644,-1.649664504386,-1.77259605078606,4.8
0.362271622279373,0.292072353398246,-1.61778673096482,-1.73558324525126,4.7
0.354295787842238,0.292446591074011,-1.64004887609109,-1.73365494007963,4.567
0.367357031013035,0.297073935937598,-1.61059936060271,-1.73497753390753,4.433
0.364674041617211,0.285850736534125,-1.61792965438375,-1.75870806676581,4.3
0.357366088845382,0.289167197811225,-1.64495838194637,-1.74832346805941,4.2
0.374928564889115,0.292200909578347,-1.57253539335228,-1.73874953122396,4.1
0.373687157491272,0.295045035419398,-1.56001912469634,-1.73217513104794,4
0.374782555273589,0.298390367933933,-1.5771136591058,-1.71831345016261,3.933
0.381627527815679,0.297757859861238,-1.56364881710317,-1.71420883165507,3.867
0.416585779848258,0.308004304096169,-1.51518650261866,-1.67782959138773,3.8
0.414772929298774,0.302534408524437,-1.51788945948939,-1.69587420233463,3.633
0.408686831630018,0.297886691295636,-1.52790309401541,-1.71033969538864,3.467
0.410876295332611,0.301359408315196,-1.51912378728196,-1.69818678742623,3.3
0.412524190450138,0.299537927172173,-1.54289875492385,-1.70381098570464,3.2
0.405278502376671,0.304500220257518,-1.56060909588001,-1.70470492231265,3.1
0.400215651815762,0.287412660377755,-1.59811089962828,-1.75553884745014,3
0.426491366145425,0.297282566048639,-1.57109336083961,-1.71820876733154,3.067
0.41460047299107,0.304858418843681,-1.53304714462288,-1.6933722186325,3.133
0.383608919397702,0.299714919742085,-1.56394455919184,-1.70789242813296,3.2
