sigma_us,sigma_eu
0.109850029164237,0.194439509589487
0.11224500902185,0.193588484883244
0.116306178440405,0.191163916211538
0.114257668320757,0.195654120874505
0.117386045783331,0.193559539742609
0.116973424923605,0.203745916085333
0.113628003410702,0.202496884294323
0.121914513400846,0.18963268469533
0.117826172833417,0.185376472389215
0.128056742913944,0.192369140694123
0.134280148479308,0.194102787002947
0.136047772219884,0.19768168053287
0.137152638409438,0.19775393891239
0.140008438822483,0.192709493940837
0.144567334694271,0.191611192702449
0.151861006382486,0.185913977154935
0.154581369144256,0.188644296843761
0.170221519961922,0.191326696395544
0.170226194331353,0.185657220314826
0.181952790834197,0.186031277030588
0.191519021888817,0.191899574538171
0.186977867808336,0.192138485907761
0.195537647509435,0.191502351639937
0.194869068917894,0.188816509762448
0.190080842085932,0.195386002723962
0.206682752643765,0.193450699101599
0.202220954159584,0.196743880674712
0.209232669177214,0.193215131476638
0.222647881769217,0.199278406631288
0.236019666985343,0.200721712539361
0.231960433108631,0.193867473165813
0.230169684334447,0.192616620950126
0.239991543621798,0.19928423290111
0.234707848459045,0.199584532271728
0.242922308376483,0.201579438770791
0.241148127069578,0.194931584379716
0.235893747157517,0.197115018036813
0.249114179828871,0.199124003661995
0.249394870336057,0.200848925927509
0.248731418115581,0.203305332596422
0.25295315490109,0.203311993832644
0.273339413985373,0.210496767800608
0.272248175345908,0.206749328869725
0.268580148756448,0.20364635740407
0.270253705839766,0.206061577244725
0.269477948592283,0.204848033198362
0.264747415565049,0.207001230130489
0.259890801027718,0.195843089243842
0.274680614020077,0.202817601228508
0.271153887048739,0.207962500113443
0.253893575179521,0.204631487089872
0.257724972307184,0.205008262495041
0.262810536429386,0.203441048385448
0.256138992764924,0.220107166491442
0.256028845283217,0.218577697808764
0.248253719838416,0.214721823346975
0.268159275704019,0.211122136350548
0.261309847746614,0.214723646256246
0.245861882925248,0.229832780264306
0.264455359058971,0.215110861845705
0.242620379206821,0.214692519826714
0.241722996055259,0.212076991566876
0.23934776455694,0.207443443333082
0.242263606374703,0.204674677483803
0.238911251477604,0.207871811622428
0.27214838991018,0.20938404023023
0.261488693710855,0.206483025662674
0.237051603105705,0.191670557577351
0.26258095774319,0.189053023681078
0.247945309702547,0.18747649384915
0.236266223540709,0.189148170002684
0.25216542953861,0.179489725731569
0.239083055349236,0.174605918187502
0.22685465679527,0.179343236582423
0.226625949610704,0.178146113054774
0.222740347844723,0.171091659113817
0.231618055404093,0.17763385481487
0.267188863198172,0.176622604888054
0.235425108728839,0.170720110911949
0.3654159900712,0.177345396373362
0.335048354070438,0.177104144421182
0.250228465395843,0.166667101431182
0.331879133357404,0.197799692230087
0.369411593691207,0.190544556222492
0.20202645614463,0.16867434891574
0.233856074665812,0.168852986580776
0.296191987540628,0.184625905192892
0.349816858620682,0.176024341938974
0.221245998719129,0.171368145123235
0.236253990869003,0.167328820112316
0.23938827206383,0.159641353170046
0.236921563501365,0.161105886767483
3.52037946856048,0.209288973606013
0.745598347131187,0.253380422657646
0.563914315524376,0.234928904868742
0.280996154397111,0.224191866837576
0.330803831682188,0.198261083478968
0.322250589635443,0.20564164432796
0.344417282264262,0.201263691831381
0.356883620966798,0.19156137322594
0.350197764328151,0.196449548829672
0.337342593520497,0.217029500939718
0.352069577677698,0.209377290169412
0.36185325085178,0.206275969750778
0.384797996657473,0.212706101761631
0.392574239386253,0.207809932418554
0.404973326744529,0.209100226683281
0.3870912552711,0.222123717296654
0.396849466158848,0.226282592960666
0.42882807528726,0.231457991391264
0.422273395381434,0.234525779987882
0.425818340297746,0.241245224045866
0.441978010469929,0.264423688393278
0.450126438376787,0.276904731680339
0.437202637827805,0.255889100995583
