t,sigma_us,p_scr,cip_model_bps,FX_model
88,0.355239277028111,0.999584178135849,51.7038839668772,1.01895515380871
89,0.212402387011299,1,-51.1694624690662,1.01520181817126
90,0.227365609386155,0.566286406713712,-34.4397587485307,1.00905873813853
91,0.231913647248599,0.0649036152901424,-28.3460430898233,1.0022477992863
92,0.228815361410202,0.0048088072921288,-31.1256226758773,1.00072980018641
93,3.81069518356794,1,218.865807585131,1.02978312503655
94,0.77945542241672,1,148.62515168718,1.02355700200084
95,0.575048469480895,0.999999969582883,118.794231724949,1.02193727345554
96,0.265193047450788,1,-2.9143925799841,1.01688627136319
97,0.311497148323664,0.995712029576269,28.6105045629959,1.01803605895273
98,0.301675916720362,0.429684729270974,23.1752957871621,1.01510498428182
99,0.32493644245983,0.147570230091878,36.5597433532808,1.01651958108175
100,0.334841318287292,0.0147134946628499,41.9796562438399,1.01752342442002
101,0.325687544912507,0.0017322920999403,37.0265600665108,1.01630669295444
102,0.314417367467412,0.000855727488895341,30.8717493966315,1.01481222600798
103,0.326371775546146,0.000899455171475357,37.400559050917,1.01639559744266
104,0.335661106080768,0.000789818995444144,42.366864441123,1.01760531577967
105,0.358093206115379,0.00188358416210002,52.8926469959722,1.02024550850118
106,0.365767722622638,0.000820675873776101,56.4747746217299,1.02114686454014
107,0.376860246543026,0.00084700480786747,60.9334214875526,1.02230658657805
108,0.360597540014039,0.000854198410279244,54.0675273224228,1.02054167075598
109,0.369887874338777,0.000787978796038635,58.1308554288641,1.02157773172415
110,0.398611179925621,0.00292659690522597,69.6777330315882,1.02457063355014
111,0.391430767334412,0.000767281643098336,66.7899888636537,1.02383033924068
112,0.394754729570509,0.000655992242306916,68.1259753478836,1.02417840164612
113,0.411736199058976,0.00110225605496344,74.2437441056527,1.02580842265145
114,0.421176143596116,0.000803506084366464,77.4857680494023,1.0266856579535
115,0.405732635372487,0.000724993124834889,72.1814153795729,1.02525382890743
116,0.40522957409398,0.000617646189525844,72.00854642137,1.0252077494008
117,0.407242376889737,0.000630439050061872,72.6998787092156,1.02539437799241
118,0.399933615578005,0.000613548408481868,70.1895814347821,1.02471653795417
119,0.385730173949871,0.000718562054914329,64.4986139852726,1.02323445824662
120,0.360241256068499,0.00143997315424918,53.900488015843,1.02049886894746
121,0.366464810118186,0.000751029875501929,56.7549455762843,1.02121989272658
122,0.388057763471428,0.00159690588126881,65.4347130884216,1.02347438387976
123,0.410815602540693,0.00179213430291185,73.928138094628,1.02571905121577
124,0.420524844533663,0.000868013063727669,77.2621311928473,1.02662483141671
125,0.428031918382016,0.000734125188091059,79.8404095752385,1.02732196970307
126,0.448683631047849,0.0013070923335262,86.3403994450578,1.02910856260641
