sigma_us,sigma_eu
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
0.02,0.015
