sigma_us,sigma_eu
0.14403526352846,0.251062078998672
0.146234686516997,0.249323602126081
0.155523897613239,0.244938925841088
0.15191398881916,0.253887071240486
0.154765963817614,0.246499040992366
0.153546404710672,0.263540811453285
0.147485569752979,0.261419571610477
0.156819961164326,0.241675016262667
0.150140194699766,0.231485690198019
0.164227778352768,0.248168066475035
0.173885763511896,0.249417634438316
0.176543046967139,0.253684743010445
0.178179094777138,0.252923874097181
0.181322664672872,0.245703833411404
0.186570021846206,0.243749197626412
0.196506920202339,0.235491268168876
0.199750813841372,0.239262095433511
0.220253196397387,0.242518915367375
0.219896540348756,0.235605194134457
0.235841758414606,0.236960292009849
0.248267150933619,0.245417631307425
0.241458478493177,0.247644422411892
0.254263465162677,0.246451358095236
0.253420005110224,0.240483233021312
0.246990497107081,0.249624311391266
0.267839975018118,0.2461655470228
0.261672287369098,0.252013918401971
0.271652314918274,0.248029563134962
0.290948988221136,0.253889445969784
0.306176716797048,0.256029358484465
0.302147257642403,0.246415615304032
0.299066576956485,0.244899519152959
0.31286103791293,0.253019412015568
0.305973035412144,0.253349233048902
0.317190124320817,0.257209852121864
0.314873528562009,0.247616196384498
0.308502900462079,0.250479222640182
0.323897492357901,0.253099613016088
0.322987262949306,0.255536140856767
0.323729959488678,0.258456203248213
0.329591946580699,0.25796324942757
0.3593992081523,0.266863672802445
0.357826278069522,0.262123261850784
0.352629563075312,0.25810542055878
0.354550978432643,0.261119450418254
0.355713210450976,0.259545123981837
0.34946886615842,0.263688927632146
0.34486589923786,0.24894985033985
0.367179946171992,0.257530261086452
0.357551610884663,0.264090116696295
0.331250395936131,0.259656659236889
0.342214293790232,0.260483498986683
0.349774095416907,0.258923295542356
0.341646322209556,0.280118237208256
0.339203232830025,0.2783493622948
0.327448225096557,0.273328838956819
0.360891008487886,0.268581848917075
0.350319397385302,0.271715244358488
0.324877717739096,0.294059512585544
0.357584665368438,0.272942410833931
0.322187879296588,0.269938384565308
0.316204709184942,0.267583324370479
0.313744625610588,0.260977524752312
0.321235931100839,0.2561287414674
0.316332385625935,0.263170646779444
0.366014422128584,0.265555457377045
0.348287061197635,0.26163081903466
0.308024168288561,0.235752508233446
0.351308522653143,0.235388977809657
0.326792330856208,0.234288795344385
0.306241203327268,0.239285997494802
0.33490992751256,0.226320317868205
0.315830771708023,0.218015977795078
0.294042212366456,0.226818016959874
0.293003372492983,0.227131761094742
0.293122935975613,0.216007228658592
0.308713383264856,0.226175890117932
0.363823375373497,0.225295603372059
0.313787634968167,0.216530681492082
0.522099420478477,0.232580560215733
0.473279009674632,0.232071853980776
0.343006527348754,0.214620985733424
0.475281262917632,0.267447164046897
0.535170614811557,0.249762263398748
0.267365564888507,0.218497657411671
0.319335037018178,0.219526117885347
0.418648515938609,0.245065066847773
0.506548307042646,0.232930895511879
0.299104012837972,0.225736192315094
0.320409519629349,0.216489048662216
0.327356073076816,0.204849635520803
0.32273573919648,0.206891883931722
5.45282995196711,0.282944325351405
1.11543128153678,0.353873847755152
0.82053412853039,0.323139142338373
0.371933043305211,0.29935072628035
0.436643369317238,0.257401529565147
0.422312781690016,0.2705729690706
0.455686341909674,0.260341823150239
0.468975287113143,0.244628998975252
0.455279440519998,0.252147695466379
0.439726828627406,0.273438394029083
0.455935840730348,0.266168701909636
0.468974324123331,0.261497326242644
0.500645662023224,0.269046170464289
0.511504564129866,0.261777557564049
0.526881246965627,0.264618350267561
0.50425609080208,0.281864504410229
0.517307099937518,0.287898025718492
0.557160686641718,0.294334937585689
0.546816421435556,0.297995065807339
0.551470445486949,0.306441910013873
0.575770420768965,0.338966373959328
0.589534103781851,0.355023294201441
0.56692552246966,0.328034372851162
0.565928738521874,0.321720275812001
0.568965343642344,0.319826764997453
0.55857873643831,0.324436992372934
0.538867928384816,0.307547432872834
0.503542274727463,0.306773968274515
0.511878127221075,0.313325527412184
0.542274261475149,0.289775850790189
0.574338509561538,0.27584794557011
0.587885909752165,0.290616077025964
0.598297821213468,0.285987666881025
0.62712144296637,0.293559264884219
0.62859154990562,0.296596166225489
0.576988477632062,0.355207200431049
0.595279588511541,0.391941248749355
0.58932616865831,0.391258391585358
0.577056755788617,0.372312129906065
0.565683467719421,0.472783032889251
0.549563938196167,0.459382476520637
0.572682345912421,0.453496459101207
0.547612545966792,0.503794035005366
0.544665255624379,0.502283323187953
0.552365673773753,0.523125358007048
0.547720424771638,0.527689146477085
0.525407542963862,0.511107350400469
0.513295837675377,0.52224156913645
0.49066309833438,0.508896949775809
0.470568362792028,0.501635994394207
0.469365559135891,0.492422219936949
0.441874128834192,0.472034678891492
0.428021775536056,0.441630881093815
0.452225844455143,0.43511621188685
0.456073135275309,0.420029559090028
0.440790965879309,0.424868038631344
0.459531361626974,0.415483629346862
0.485848780638502,0.415718658804996
0.479342115228981,0.405365863408336
0.499370849074628,0.40356364516374
0.521538776309565,0.399672040685124
0.478444348714427,0.397910348519096
0.511344010149189,0.396800940889363
0.485680329551743,0.387127068558934
0.458927906272164,0.383028152805655
0.466330489990268,0.379212375584052
0.47355152679975,0.370030558847258
0.448386054844067,0.372768376571676
0.443826020935492,0.373076702215229
0.453238416598006,0.353953626070906
0.446022584739807,0.347797696758546
0.48380699123656,0.352613895468111
0.466712252685308,0.358045796661514
0.445291183989843,0.360421737758279
0.434733360261844,0.359650779890648
0.446317824615074,0.379172909385864
0.471118645184023,0.392974461284553
0.436329421264873,0.408039793230702
0.485331391400289,0.428335338018252
0.472340448330269,0.436749103547829
0.479326230634213,0.443809504891067
0.468155053243578,0.444787057328254
0.446283068388878,0.458912398327342
