sigma_us,sigma_eu,mu_us,mu_eu,lcr_us
0.0939796783972261,0.164847221227927,-2.41807317909443,-1.80063082192832,6.2
0.0956844500756066,0.163875707653159,-2.37579757750748,-1.79820780665355,6.2
0.100630509174675,0.16129754952423,-2.43179914416676,-1.7978374099718,6.2
0.0985527053483715,0.166373789465896,-2.42728222991441,-1.80832048166872,6.2
0.100768826299885,0.162699659556622,-2.36975457673499,-1.77124334944326,6.2
0.100148747241997,0.172916476003548,-2.35840143145162,-1.7587118316612,6.2
0.096637412364198,0.171653854747073,-2.35248933497955,-1.75956660795355,6.2
0.103108163973559,0.159475498495562,-2.25740714050147,-1.79336120401627,6.2
0.0990834802839847,0.153743641100304,-2.26891492160534,-1.77892898228358,6.2
0.108104589558701,0.163003550769842,-2.20056055533346,-1.80895798866354,6.2
0.114042565137604,0.164061609070026,-2.17883202987067,-1.78968953301702,6.2
0.11568348817298,0.16695478774857,-2.17171337033474,-1.76813792517877,6.2
0.116702609938535,0.166667824431527,-2.16693287906932,-1.7596012954654,6.2
0.118910925605711,0.1620911928353,-2.13735389161558,-1.77824654103658,6.2
0.12252757127039,0.160943801132468,-2.09562563608015,-1.7789586836145,6.2
0.128912529662201,0.155703367007884,-2.05372556307986,-1.80025087549903,6.2
0.131111890263596,0.158136435579375,-2.0321506613684,-1.78830959317684,6.2
0.144502413009546,0.160319494650923,-1.93924475284684,-1.77297262178766,6.2
0.14435839028003,0.155691496745837,-1.93486579165324,-1.80541978466588,6.2
0.154611361183686,0.156391878459416,-1.87768591268551,-1.81136541080731,6.2
0.162757728335883,0.16172459834475,-1.82674390706356,-1.78947355900926,6.2
0.158550818269693,0.16272175234474,-1.84012780880287,-1.80772807879724,6.2
0.166482536617141,0.162042506666284,-1.81499704724917,-1.8070826517488,6.2
0.165923779555892,0.158722714296082,-1.81872550876806,-1.79627697815116,6.2
0.161754997723434,0.164557807494998,-1.84118163444923,-1.76910578442624,6.2
0.17562094360921,0.162522647750769,-1.74965294996322,-1.77007559789143,6.2
0.171668454640594,0.165975789764617,-1.76733030180871,-1.76834796567499,6.2
0.177971330370884,0.163219926760714,-1.74277346824147,-1.79176320719306,5.8
0.190138123171241,0.167537607882142,-1.70024286016729,-1.74306047824391,5.4
0.200658291342388,0.168879030224242,-1.61990593263971,-1.73847932404836,5
0.197691086054052,0.1627497823589,-1.649366166114,-1.76548001040984,4.9
0.19587394550191,0.161731975708276,-1.649664504386,-1.77259605078606,4.8
0.204639679499978,0.167140820935315,-1.61778673096482,-1.73558324525126,4.7
0.200132128129934,0.16742847861591,-1.64004887609109,-1.73365494007963,4.567
0.207337981748289,0.169637407937579,-1.61059936060271,-1.73497753390753,4.433
0.205823232418084,0.163577812007965,-1.61792965438375,-1.75870806676581,4.3
0.201527375587974,0.165448318330857,-1.64495838194637,-1.74832346805941,4.2
0.21208544242776,0.167164740587856,-1.57253539335228,-1.73874953122396,4.1
0.211818864470496,0.168720836253378,-1.56001912469634,-1.73217513104794,4
0.211889281068816,0.17069466005097,-1.5771136591058,-1.71831345016261,3.933
0.215630493024754,0.170499751365063,-1.56364881710317,-1.71420883165507,3.867
0.234263726721638,0.176389922656522,-1.51518650261866,-1.67782959138773,3.8
0.233277103512937,0.173281052281049,-1.51788945948939,-1.69587420233463,3.633
0.229990782394536,0.170635646938679,-1.52790309401541,-1.71033969538864,3.467
0.231317825888295,0.172638896600077,-1.51912378728196,-1.69818678742623,3.3
0.231486803198401,0.17160490410348,-1.54289875492385,-1.70381098570464,3.2
0.227413899512511,0.174014874180589,-1.56060909588001,-1.70470492231265,3.1
0.223912581629776,0.164418733339818,-1.59811089962828,-1.75553884745014,3
0.237647148955837,0.1701499198286,-1.57109336083961,-1.71820876733154,3.067
0.232777191039937,0.174479709402212,-1.53304714462288,-1.6933722186325,3.133
0.216603423663682,0.171618562112438,-1.56394455919184,-1.70789242813296,3.2
0.222128919560841,0.1720642298948,-1.60890055284641,-1.70885040710253,3.133
0.226809170258714,0.170923286172977,-1.59809608200323,-1.7201004355583,3.067
0.221328127543113,0.184932632410198,-1.63232889131235,-1.64119609524291,3
