sigma_us,sigma_eu
0.0990661612127545,0.178865891768189
0.102092157518803,0.178651843326208
0.102252467122756,0.177535239847437
0.101214962947189,0.178861275594853
0.10513931479233,0.181088667543156
0.105368494333467,0.187013623632216
0.103841301150624,0.186318050436955
0.112694970440688,0.17726013179066
0.110157800252046,0.177229885198266
0.118817619257027,0.177157044881509
0.123076554821,0.179631989352034
0.1243681399675,0.183238586555503
0.125197692201577,0.184061122284732
0.128309901020003,0.180041913156507
0.133073587986014,0.179500168457557
0.139320026533248,0.175036028012775
0.142062098715297,0.177323976278949
0.156187888935453,0.180000198889588
0.156502823989235,0.1744167382847
0.166569397067898,0.174003026142311
0.175316548371346,0.178633039085803
0.171973288319535,0.177146056803617
0.178284278772652,0.176891773198899
0.177651585201576,0.176629847224936
0.173467095323147,0.182093726869373
0.189254122345405,0.181156923612121
0.18552115101972,0.182783456073354
0.191144790229888,0.179030273309159
0.201712625049107,0.186344644415154
0.215835624360163,0.187430995272573
0.211027762250958,0.181791069043536
0.210065626817749,0.180554012763956
0.218109009637877,0.187110299823708
0.213307084112566,0.187440533254872
0.220319658445853,0.188156051609271
0.218710555427812,0.182920709544863
0.213508797386993,0.184892034744982
0.227162250486884,0.186717836653482
0.228556445574603,0.188123016537834
0.226519615150448,0.190602301269713
0.230036953554104,0.191042688095005
0.24568124691483,0.197973723117297
0.244833092086655,0.194445935923801
0.241867757817802,0.191599608985331
0.243619778680329,0.193902088621034
0.240988789092695,0.192801678769989
0.236758367152973,0.193601536157611
0.230820291043519,0.183623535631
0.241596030120139,0.190401846921356
0.24281819803439,0.195201459771909
0.230506291072882,0.192265963984399
0.228701009668406,0.192318270133965
0.232504416397335,0.190473104344625
0.22594292227913,0.206094836200355
0.227864247785755,0.204504038775279
0.22222842481913,0.200992684150823
0.233740462877213,0.197766821978557
0.228950372115066,0.202405421454374
0.219570784951458,0.213812439324454
0.229052931617117,0.202110231191576
0.215271146770995,0.203798563601091
0.218715233728826,0.20055589236679
0.215990846247923,0.196803288340793
0.215375552170018,0.195265482666575
0.212799303488271,0.195823590643055
0.237431080945114,0.1968448536856
0.231096022615969,0.194328402358335
0.216332443507653,0.18531213675453
0.230688832640024,0.181256149577431
0.222172764523943,0.179101505913782
0.216295830948284,0.178338652025963
0.22369915821118,0.16985466285391
0.213595933105776,0.166952033994649
0.207679776485555,0.169141140658196
0.208132627055768,0.166439191213257
0.199985553419602,0.161682807233358
0.204511043413956,0.16621021711882
