sigma_us,sigma_eu,mu_us,mu_eu,lcr_us
0.107134890735698,0.187426185923074,-2.41807317909443,-1.80063082192832,6.2
0.108933078572724,0.186228243276675,-2.37579757750748,-1.79820780665355,6.2
0.115110639060993,0.183166572036366,-2.43179914416676,-1.7978374099718,6.2
0.112612984419989,0.189301325529631,-2.42728222991441,-1.80832048166872,6.2
0.114957939454788,0.184561207657071,-2.36975457673499,-1.77124334944326,6.2
0.114183528494823,0.196643094381968,-2.35840143145162,-1.7587118316612,6.2
0.109959090262179,0.195169439608295,-2.35248933497955,-1.75956660795355,6.2
0.117183082354238,0.180932249208519,-2.25740714050147,-1.79336120401627,6.2
0.112389291572385,0.173934695490172,-2.26891492160534,-1.77892898228358,6.2
0.122771572204346,0.185298024189221,-2.20056055533346,-1.80895798866354,6.2
0.12972150067537,0.186392581547046,-2.17883202987067,-1.78968953301702,6.2
0.131639310600601,0.189636974485089,-2.17171337033474,-1.76813792517877,6.2
0.132829991230764,0.189213394018753,-2.16693287906932,-1.7596012954654,6.2
0.135266000531363,0.183931037803697,-2.13735389161558,-1.77824654103658,6.2
0.139293032932584,0.182536900965842,-2.09562563608015,-1.7789586836145,6.2
0.146607453924688,0.176522650772101,-2.05372556307986,-1.80025087549903,6.2
0.149107695975386,0.179288207270864,-2.0321506613684,-1.78830959317684,6.2
0.164343413013067,0.181776747614171,-1.93924475284684,-1.77297262178766,6.2
0.164135926217743,0.176541305000996,-1.93486579165324,-1.80541978466588,6.2
0.17589503426199,0.177424536954493,-1.87768591268551,-1.81136541080731,6.2
0.185154961339157,0.183605195754134,-1.82674390706356,-1.78947355900926,6.2
0.180255106171395,0.184942850246678,-1.84012780880287,-1.80772807879724,6.2
0.189499293673682,0.184112933726087,-1.81499704724917,-1.8070826517488,6.2
0.188865872397593,0.180060289634918,-1.81872550876806,-1.79627697815116,6.2
0.184102079699244,0.186793343162406,-1.84118163444923,-1.76910578442624,6.2
0.199773852789157,0.184335102480381,-1.74965294996322,-1.77007559789143,6.2
0.195235759322521,0.188467518162831,-1.76733030180871,-1.76834796567499,6.2
0.202530495385022,0.185397155047251,-1.74277346824147,-1.79176320719306,5.8
0.21658254926735,0.190077137893534,-1.70024286016729,-1.74306047824391,5.4
0.228327638734552,0.191641830535227,-1.61990593263971,-1.73847932404836,5
0.225087936244361,0.184587650281546,-1.649366166114,-1.76548001040984,4.9
0.222942105428171,0.183445271367365,-1.649664504386,-1.77259605078606,4.8
0.23302801296175,0.189559757758854,-1.61778673096482,-1.73558324525126,4.7
0.227899199286228,0.189812079462086,-1.64004887609109,-1.73365494007963,4.567
0.236153974573611,0.192514591590962,-1.61059936060271,-1.73497753390753,4.433
0.23443401935237,0.185502483202613,-1.61792965438375,-1.75870806676581,4.3
0.229626936719039,0.187635198297824,-1.64495838194637,-1.74832346805941,4.2
0.241402574852363,0.189588838878252,-1.57253539335228,-1.73874953122396,4.1
0.240966484337392,0.191384690021076,-1.56001912469634,-1.73217513104794,4
0.241214413491372,0.193594007177206,-1.5771136591058,-1.71831345016261,3.933
0.245516773383697,0.193314649681209,-1.56364881710317,-1.71420883165507,3.867
0.267138854836929,0.200010861692706,-1.51518650261866,-1.67782959138773,3.8
0.265995251534697,0.19645822981511,-1.51788945948939,-1.69587420233463,3.633
0.262197830329778,0.193459386277584,-1.52790309401541,-1.71033969538864,3.467
0.263668727318894,0.19572375751604,-1.51912378728196,-1.69818678742623,3.3
0.264127684055208,0.194548796118236,-1.54289875492385,-1.70381098570464,3.2
0.259522601530799,0.197416690368491,-1.56060909588001,-1.70470492231265,3.1
0.25574479833075,0.186481069417836,-1.59811089962828,-1.75553884745014,3
0.271791981805741,0.192934539146232,-1.57109336083961,-1.71820876733154,3.067
0.265593239464974,0.197844605004313,-1.53304714462288,-1.6933722186325,3.133
0.246691967899156,0.194580094936024,-1.56394455919184,-1.70789242813296,3.2
0.253737136715959,0.195127349500015,-1.60890055284641,-1.70885040710253,3.133
0.259200706641016,0.193909743775078,-1.59809608200323,-1.7201004355583,3.067
0.25304420923682,0.209785372750452,-1.63232889131235,-1.64119609524291,3
0.251635693099721,0.208405623362064,-1.60724716017133,-1.64960452020912,2.967
0.243199695356942,0.204691503739257,-1.62227578669129,-1.66651874515044,2.933
0.266677025768755,0.201155373558994,-1.62305889474192,-1.68209245895373,2.9
0.259121199119559,0.203712214829045,-1.63274643524351,-1.65423517615857,2.867
0.241181364370465,0.219978703539013,-1.63829229442743,-1.61011970228625,2.833
0.263915696124893,0.204534555213739,-1.65757123519636,-1.65786267359542,2.8
0.238879446716094,0.202613574918546,-1.66964233235705,-1.64267734471303,2.767
0.235334114746052,0.200722122262057,-1.62133416021834,-1.66110047344225,2.733
0.233387205675431,0.195863979682081,-1.63785446062786,-1.67802833251881,2.7
