parameter,value
mu_sigma_us_r1,-1.1629973302908605
rho_sigma_us_r1,0.9723765502763166
Sigma_sigma_us_r1,0.0435074680651427
mu_sigma_us_r2,-1.0280169821709673
rho_sigma_us_r2,0.2345842301611297
Sigma_sigma_us_r2,0.621784199624117
P11,0.9919645130001408
P12,0.008035486999859261
P21,0.10044621506659278
P22,0.8995537849334072
