parameter,value
mu_sigma_us_r1,-0.7548570054662724
rho_sigma_us_r1,0.970689903182425
Sigma_sigma_us_r1,0.047285024632694676
mu_sigma_us_r2,-0.5441706023976143
rho_sigma_us_r2,0.24036372133487494
Sigma_sigma_us_r2,0.6573645707144918
P11,0.992078882493736
P12,0.007921117506264005
P21,0.0977857571185036
P22,0.9022142428814963
