parameter,value
mu_sigma_us_r1,-1.265951321200275
rho_sigma_us_r1,0.8834096259714237
Sigma_sigma_us_r1,0.15301765104318849
mu_sigma_us_r2,-0.799454398023786
rho_sigma_us_r2,0.6005346767312247
Sigma_sigma_us_r2,0.8960397532854498
P11,0.9391271861837012
P12,0.016434997100552868
P21,0.06087281381629881
P22,0.9835650028994473
