param,value
sigma_ss_scr,0.311259108568088
sigma_ss_nor,0.24714170770500754
sigma_ss_scr_se,0.10402893456025142
sigma_ss_nor_se,0.8781635910184036
rho_scr,0.1687352283850565
rho_nor,0.9966862720220322
rho_scr_se,0.21079956854892323
rho_nor_se,0.009436394633911918
Sigma_scr,0.5740582665990964
Sigma_nor,0.02370690566905192
Sigma_scr_se,0.05829699679400671
Sigma_nor_se,0.003949817820948933
trans_scr,0.07816747948063552
trans_nor,0.009398476520602328
gamma_mu,NaN
gamma_mu_se,NaN
