parameter,value
mu_sigma_us_r1,-1.2561763909004873
rho_sigma_us_r1,0.9734322193232681
Sigma_sigma_us_r1,0.040699757928989666
mu_sigma_us_r2,-1.2122244402368592
rho_sigma_us_r2,0.22443335862523411
Sigma_sigma_us_r2,0.5737124132650603
P11,0.991836514999739
P12,0.008163485000260972
P21,0.10564687686379362
P22,0.8943531231362064
