parameter,value
mu_sigma_us_r1,-1.1951579599198223
rho_sigma_us_r1,0.9712677456773755
Sigma_sigma_us_r1,0.04592844643219746
mu_sigma_us_r2,-1.0078394622572946
rho_sigma_us_r2,0.23825254017303135
Sigma_sigma_us_r2,0.6480496754255388
P11,0.992036294421652
P12,0.007963705578348005
P21,0.09875807099093509
P22,0.901241929009065
