prob_nor,prob_scr
0.9970133861536314,0.0029866138463685416
0.9987237260952239,0.00127627390477615
0.9990534092081793,0.0009465907918206138
0.9993058129315743,0.0006941870684258306
0.9992390876938706,0.0007609123061293255
0.9987283973318434,0.0012716026681565589
0.998904513282193,0.0010954867178071144
0.9985923329398976,0.0014076670601025165
0.9974535108145338,0.0025464891854662074
0.9986975350757531,0.0013024649242468261
0.999175966208988,0.0008240337910121125
0.9991841045609737,0.0008158954390262797
0.9991660665326104,0.0008339334673895746
0.9990944168098711,0.0009055831901289392
0.9987060224684632,0.0012939775315368397
0.9990568649417136,0.000943135058286428
0.9947602666286249,0.00523973337137512
0.9987760859696244,0.0012239140303756302
0.9975368953840427,0.0024631046159573474
0.9982050836676853,0.0017949163323146774
0.9985421843880664,0.0014578156119336185
0.9981912577774056,0.0018087422225943812
0.9988069130501045,0.0011930869498954595
0.9986104652563682,0.0013895347436317883
0.9961115893284311,0.0038884106715688454
0.9984527439278029,0.0015472560721970915
0.998479563772672,0.0015204362273280774
0.9969104017565462,0.003089598243453838
0.9978001814272965,0.0021998185727034607
0.9986062078469103,0.0013937921530896647
0.9986756503826394,0.0013243496173606364
0.9980889876155555,0.0019110123844444243
0.9985019938151314,0.001498006184868682
0.9983231802596583,0.0016768197403418243
0.9986522722945391,0.001347727705460857
0.998561929495724,0.0014380705042760544
0.9979355696936152,0.002064430306384918
0.9986337890484283,0.001366210951571721
0.9986779042373872,0.0013220957626128454
0.9985914361284772,0.0014085638715227661
0.993247122947062,0.006752877052938005
0.9983073766433895,0.001692623356610481
0.9985510755663836,0.00144892443361644
0.9986194105486428,0.00138058945135721
0.9986250463760644,0.0013749536239355642
0.9985441352162294,0.0014558647837705648
0.9985905158890153,0.0014094841109848083
0.9967544214349598,0.0032455785650402284
0.9982566293511701,0.001743370648829942
0.9951071118693673,0.004892888130632805
0.9980227305528536,0.0019772694471464525
0.9984564325308526,0.0015435674691474074
0.9984685533556713,0.0015314466443286864
0.998621127386472,0.0013788726135280757
0.9982299770029428,0.0017700229970572443
0.9889871371585631,0.011012862841436884
0.997670695173544,0.002329304826455974
0.9950493145945529,0.004950685405447189
0.9881206100680071,0.011879389931992897
0.978919391776762,0.02108060822323792
0.9973101047088941,0.002689895291105927
0.998595469118857,0.001404530881142952
0.9985229237309126,0.0014770762690875254
0.9985975201401507,0.0014024798598493435
0.8836010199881824,0.1163989800118175
0.9852970521322628,0.014702947867737171
0.9419730954064689,0.05802690459353114
0.827888630169651,0.17211136983034903
0.9608199940089783,0.03918000599102161
0.990745666421359,0.009254333578641026
0.9899661449783449,0.01003385502165512
0.9961023655267232,0.003897634473276891
0.9952264795416075,0.004773520458392564
0.9985426785955671,0.0014573214044329165
0.9987342827113682,0.0012657172886318035
0.997795796778001,0.0022042032219989622
0.6801156237813374,0.3198843762186625
0.2435308813522762,0.7564691186477237
1.800529665473628e-24,1.0
0.35194352102799353,0.6480564789720064
3.762928592816724e-9,0.9999999962370714
2.3137853119756756e-10,0.9999999997686215
0.10664394811174223,0.8933560518882577
4.3363700670927064e-45,1.0
0.004610002996776966,0.9953899970032231
4.0510512284261095e-7,0.9999995948948771
0.0008945999538645677,0.9991054000461355
4.4883590638871435e-26,1.0
0.5886771710939896,0.4113228289060103
0.9622476127885862,0.03775238721141373
0.9963854490999859,0.0036145509000139976
0.0,1.0
1.4679987359577744e-220,1.0
7.114565030159567e-8,0.9999999288543497
8.514064738234161e-58,1.0
0.013070684367721958,0.9869293156322779
0.7473715424389903,0.2526284575610097
0.9244225479558557,0.07557745204414427
0.9922679256994794,0.007732074300520556
0.9979001707709376,0.002099829229062382
0.9982165959274688,0.0017834040725311453
0.9979815634978209,0.002018436502179135
0.9981541182172993,0.001845881782700743
0.9957678728035468,0.004232127196453114
0.998119475314497,0.00188052468550304
0.9980930849300474,0.0019069150699525686
0.9980543165617954,0.001945683438204575
0.9981921131614918,0.0018078868385082748
0.9943044589676727,0.005695541032327174
0.998285902671186,0.0017140973288139875
0.9984909660797897,0.0015090339202103009
0.9975233896760342,0.002476610323965878
0.9981741788063118,0.0018258211936882816
0.99824007215336,0.001759927846639956
0.9985656895381015,0.00143431046189847
0.998539488518908,0.0014605114810920944
0.9985584239606468,0.0014415760393533237
0.9983288564367138,0.00167114356328624
0.9968816621219102,0.003118337878089784
0.9983037131305712,0.0016962868694286987
0.9965255143249427,0.003474485675057308
0.9962287893561024,0.0037712106438975413
0.9981039901209178,0.001896009879082187
0.9983633943839207,0.0016366056160793526
0.9972988041000337,0.0027011958999662977
0.998517717390643,0.0014822826093569205
0.9953358028102257,0.004664197189774263
0.9977804183216205,0.0022195816783795786
0.9985642981312415,0.0014357018687586336
0.998560769646036,0.001439230353964004
0.9985598777037641,0.0014401222962358337
0.9984461963198266,0.0015538036801734333
0.9976833008440551,0.002316699155944843
0.9980563729230345,0.0019436270769655237
0.9985540315364267,0.0014459684635731755
0.998441040467071,0.0015589595329288644
0.9985799092111457,0.0014200907888542822
0.9981768215020804,0.0018231784979195404
0.9984606948875993,0.0015393051124007347
0.9980211112546147,0.0019788887453852555
0.9980522571087789,0.0019477428912210916
0.9985338984784068,0.001466101521593206
0.9972856794599995,0.002714320540000456
0.9982174056617381,0.001782594338261974
0.9970144254710771,0.0029855745289229007
0.9984192641849285,0.0015807358150715307
0.9982681548962645,0.0017318451037354457
0.997731691081287,0.002268308918713004
0.9967873914350184,0.003212608564981648
0.9984384021393314,0.0015615978606686003
0.9977412503410518,0.0022587496589482115
0.9975076775197508,0.002492322480249157
0.9940281422423902,0.005971857757609705
0.9947928884662331,0.005207111533766836
0.9974507625433899,0.002549237456610057
0.9973696692762596,0.00263033072374049
0.9983567927954395,0.0016432072045604604
0.9984233269914857,0.0015766730085142512
0.9975812935476301,0.0024187064523698313
0.9984970482325494,0.0015029517674507182
0.9983568874943097,0.0016431125056902514
0.9985127745467648,0.0014872254532352224
0.9932316803459348,0.0067683196540651615
0.9978603102615957,0.002139689738404319
0.9978403221626099,0.0021596778373901243
0.9983925371445271,0.0016074628554728517
0.9982487192202326,0.001751280779767314
0.9970036720254732,0.0029963279745268212
0.9954308971849412,0.004569102815058877
0.9786686450728262,0.02133135492717377
0.9970647210919592,0.002935278908040731
0.9983420219354167,0.0016579780645834114
0.9984460608723319,0.0015539391276680778
0.9978594106680138,0.002140589331986354
0.9979842720966398,0.0020157279033601746
0.9954978681043309,0.004502131895669053
0.9982963507866288,0.0017036492133711667
0.9981968799455685,0.0018031200544315158
0.9979743290168867,0.0020256709831133995
0.9984059864498515,0.001594013550148595
0.9980066547939013,0.0019933452060988013
0.99784683974211,0.0021531602578900755
0.9961619433981523,0.0038380566018476905
0.9984319141222681,0.0015680858777319322
0.9985724589043852,0.0014275410956148158
0.9985757371300341,0.0014242628699658137
0.9985310943343317,0.0014689056656683117
0.9911905767408131,0.0088094232591869
0.9917961294001143,0.008203870599885707
0.9956495346050139,0.004350465394986104
0.9970537320633456,0.0029462679366544587
0.9984794362308547,0.0015205637691453372
0.9942875856173575,0.005712414382642457
0.9982562924653856,0.0017437075346144126
0.9974767350154375,0.0025232649845624983
0.9985148411298213,0.001485158870178736
0.9985666191754994,0.0014333808245005897
0.9974843879484784,0.0025156120515215557
0.9985235668918724,0.0014764331081276118
0.9981062987855227,0.0018937012144773584
0.9975583072077794,0.002441692792220731
0.9957099624000586,0.0042900375999413935
0.9984017340153674,0.0015982659846325168
0.9934118100620273,0.006588189937972657
0.9929219045983407,0.007078095401659191
0.9923773288378248,0.007622671162175157
0.9974136373920685,0.002586362607931515
0.9984439373876027,0.0015560626123972323
0.9985508486268291,0.0014491513731709161
0.9960731092496619,0.00392689075033822
0.9984959063732222,0.00150409362677784
0.9983706906840433,0.0016293093159567534
0.9954723461370922,0.00452765386290783
0.998131801291241,0.001868198708759049
0.9966092751374591,0.003390724862540912
0.998571640853135,0.001428359146865034
0.9985180282530803,0.001481971746919655
0.9986639226141354,0.0013360773858645937
0.9966731354068755,0.0033268645931244924
0.9985911197547302,0.0014088802452697487
0.9984703591083347,0.00152964089166525
0.9971034756959918,0.0028965243040081938
0.9984381915326673,0.0015618084673327127
0.9985076968393404,0.0014923031606596188
0.9987175641695183,0.0012824358304816851
0.9977442709224904,0.002255729077509658
0.9985776513182569,0.0014223486817430124
0.9986486755507881,0.0013513244492119514
0.9986800528375466,0.0013199471624533534
0.003746534376161513,0.9962534656238384
0.7088120726627136,0.29118792733728643
0.9765007585799991,0.023499241420000882
0.9821423206994342,0.017857679300565893
0.9722278911527479,0.02777210884725202
0.9957664875251981,0.004233512474801868
0.9978970982280476,0.0021029017719524016
0.9986565392909655,0.0013434607090344712
0.9616461406821617,0.03835385931783823
5.8457464849851464e-8,0.9999999415425352
0.7782642453976936,0.22173575460230638
0.9883181294432827,0.011681870556717346
0.9986776117632206,0.0013223882367794518
0.9990674591193034,0.0009325408806965824
0.9957286623784887,0.004271337621511294
0.9915582667741145,0.008441733225885487
0.9958744383839948,0.004125561616005181
0.9988095390423037,0.0011904609576962402
0.9991241441688394,0.0008758558311605035
0.9989985465564636,0.0010014534435364131
0.9991988189542822,0.0008011810457178861
0.9989593937378215,0.00104060626217857
0.9941731665837084,0.005826833416291577
0.9985648543770986,0.0014351456229013617
0.9989949654996035,0.0010050345003964488
0.9972169758988972,0.002783024101102744
0.6239537626894396,0.37604623731056047
0.9869537712345294,0.01304622876547063
0.984505347184169,0.015494652815831013
0.017347370109069865,0.98265262989093
0.9392530841173777,0.060746915882622265
0.9427219383904841,0.05727806160951585
0.9978608663544445,0.002139133645555499
0.9996140913312637,0.0003859086687364129
0.09282861488445973,0.9071713851155403
0.9731276147952084,0.026872385204791648
0.6682016971262388,0.33179830287376116
0.1804749189698002,0.8195250810301997
1.3715859875919724e-20,1.0
0.32430385628570274,0.6756961437142972
0.8040027905112231,0.19599720948877675
0.9975005988795973,0.0024994011204026462
0.9997804452994653,0.00021955470053471813
0.99962755614097,0.0003724438590299137
0.9992860153278708,0.0007139846721292289
0.999749893245764,0.00025010675423603175
0.9997406856705381,0.000259314329461862
0.9993308737573722,0.0006691262426277974
0.9993072295369748,0.0006927704630251947
0.45256924191503745,0.5474307580849624
0.989680610675814,0.010319389324186011
0.999686207302755,0.0003137926972449548
0.998344536095427,0.001655463904573068
0.9991883745970691,0.0008116254029308354
0.9996599698582526,0.0003400301417474495
0.9997377530741074,0.00026224692589259664
0.9998475968551743,0.00015240314482555586
0.9979254839651124,0.002074516034887692
0.9998384107847148,0.0001615892152852342
0.9998117211099443,0.00018827889005560753
0.9998451478510103,0.0001548521489898071
0.9997536235819007,0.0002463764180994161
0.9986173944605279,0.0013826055394721517
0.9996861748189072,0.00031382518109280053
0.9997740609979524,0.00022593900204760732
