parameter,value
mu_sigma_us_r1,-1.272970744681643
rho_sigma_us_r1,0.9720342395881648
Sigma_sigma_us_r1,0.043787605484239545
mu_sigma_us_r2,-1.1301238994626852
rho_sigma_us_r2,0.23479413343858663
Sigma_sigma_us_r2,0.6255429490941234
P11,0.9919664524940062
P12,0.008033547505993858
P21,0.1003409350588346
P22,0.8996590649411655
