state,regime,sigma_us,erg_prob,Epi_us_gross_m,Epi_us_harm_gross_m,Epi_eu_gross_m,Epi_eu_harm_gross_m,Epi_us_ann_pct,Epi_eu_ann_pct
34,1,0.532999165506481,0.0403034953116681,0.999715378204701,0.999709551147455,1.000001437018,1.00000143688075,-0.341011998151652,0.00172443522858945
35,1,0.559962761173287,0.046158427105563,0.999793948131771,0.999788215031754,1.00000106109232,1.00000106095496,-0.246982215592451,0.00127331822015186
36,1,0.588290403049418,0.051612310288558,0.999870287095803,0.999864457615953,1.00000069149126,1.00000069134902,-0.155544485149206,0.000829792664158724
37,1,0.618051096103062,0.0562369708864673,0.999944369506289,0.999938264847286,1.00000032833137,1.00000032817967,-0.066736170878412,0.000393998352676839
38,1,0.649317336156015,0.0596023002577318,1.00001618555495,1.00000963839115,0.999999971696152,0.999999971530576,0.0194243950498496,-3.39646128999505e-05
39,1,0.682165286480517,0.0613393258245151,1.00008573824135,1.00007859254439,0.999999621641106,0.999999621457401,0.102934420386913,-0.000454029728369498
40,1,0.716674963329847,0.061204663544598,1.00015304101246,1.00014515179222,0.999999278197824,0.999999277991906,0.183803876076771,-0.000866159172252523
41,1,0.752930430854615,0.0591312193338188,1.00021811586005,1.00020934884509,0.999998941377346,0.999998941145298,0.262053252345096,-0.00127033978817304
42,1,0.791020005879571,0.0552512028926841,1.00028099176649,1.00027122304069,0.999998611172958,0.999998610911026,0.337711720257428,-0.00166657972042739
43,1,0.831036473039746,0.0498834525068541,1.00034170342105,1.00033081902934,0.999998287562547,0.999998287267137,0.410815607795256,-0.00205490558926602
44,1,0.873077310800006,0.0434861957451937,1.00040029014938,1.00038818568276,0.999997970510614,0.999997970178302,0.481407124136957,-0.00243536007951128
45,1,0.91724492890857,0.0365856733512345,1.00045679501402,1.00044337518175,0.999997659970044,0.999997659597548,0.549533283040748,-0.00280799980723057
46,1,0.963646917862937,0.02969726195124,1.00051126405362,1.000496442249,0.9999973558836,0.999997355467786,0.615244987952979,-0.00317289353795047
47,1,1.01239631099591,0.0232567310903359,1.00056374563623,1.00054744350099,0.999997058185232,0.999997057723133,0.678596250416841,-0.00353012060356761
48,1,1.06361185982011,0.0175749938795665,1.00061428990749,1.00059643689872,0.999996766801297,0.999996766290088,0.739643519513167,-0.00387976945047663
49,1,1.11741832330183,0.0128220637116346,1.00066294831821,1.0006434812812,0.999996481651587,0.999996481088573,0.798445104594259,-0.00422193639710855
50,1,1.17394677176865,0.00903783571648098,1.00070977321935,1.00068863596874,0.99999620265023,0.99999620203285,0.85506067724419,-0.004556724554583
51,1,1.23333490619141,0.00616141482748359,1.00075481751421,1.00073196042546,0.999995929706507,0.999995929032353,0.909550840958295,-0.00488424284874611
52,1,1.29572739361811,0.00406839209652583,1.00079813435996,1.00077351397265,0.999995662725646,0.999995661992425,0.961976759257577,-0.00520460506734377
53,1,1.36127621957682,0.00260657320365605,1.00083977691139,1.00081335554552,0.999995401609442,0.999995400814975,1.01239983414574,-0.00551792911397397
54,1,1.43014105830622,0.00162392352870634,1.00087979810146,1.00085154348763,0.999995146256826,0.999995145399077,1.06088142854011,-0.00582433632274615
55,1,1.50248966171542,0.000986302508730038,1.00091825045384,1.00088813537779,0.999994896564454,0.999994895641499,1.10748262715072,-0.00612395076069472
56,1,1.57849826802075,0.000585643093026392,1.0009551859232,1.00092318788521,0.999994652427169,0.999994651437191,1.15226403092916,-0.00641689866368589
57,1,1.65835203105473,0.000340989300551748,1.00099065576,1.00095675664919,0.999994413738427,0.999994412679704,1.19528558108704,-0.00670330793012264
58,1,1.74224547129323,0.000195271853793473,1.00102471039646,1.00098889618024,0.999994180390655,0.999994179261591,1.23660640914829,-0.00698330769008937
59,1,1.83038294969929,0.000110290923627215,1.00105739935146,1.00101965977987,0.999993952275651,0.999993951074749,1.27628471007,-0.00725702782884419
60,1,1.92297916553803,6.15822727242971e-05,1.00108877115187,1.00104909947666,0.999993729284884,0.999993728010736,1.31437763560909,-0.00752459861982357
61,1,2.02025967937521,3.40507157745991e-05,1.00111887326827,1.00107726597656,0.999993511309768,0.999993509961047,1.35094120564552,-0.00778615040448738
62,1,2.12246146253346,1.86626533992587e-05,1.00114775206351,1.00110420862565,0.999993298241883,0.999993296817373,1.38603023536334,-0.00804181331752751
63,1,2.22983347434467,1.01417023327545e-05,1.00117545275243,1.00112997538367,0.999993089973253,0.999993088471822,1.41969827656805,-0.00829171696418163
64,1,2.34263726860466,5.46256514742739e-06,1.00120201937151,1.00115461280697,0.99999288639653,0.99999288481712,1.45199757134846,-0.00853599018958429
65,1,2.46114763070743,2.91414970950881e-06,1.00122749475696,1.00117816603977,0.999992687405177,0.999992685746797,1.48297901667398,-0.00877476086805773
66,1,2.58565324701107,1.53831181658989e-06,1.00125192053039,1.00120067881239,0.999992492893585,0.999992491155345,1.5126921385062,-0.00900815575390901
67,1,2.71645740806585,8.02711536117226e-07,1.00127533709074,1.00122219344578,0.999992302757318,0.999992300938389,1.54118507405128,-0.00923630019424859
68,1,2.85387874741745,4.13666049124108e-07,1.00129778361034,1.00124275086162,0.999992116893281,0.999992114992887,1.56850455948969,-0.00945931792740717
69,1,2.9982520177852,2.10360586572397e-07,1.00131929802983,1.00126239059788,0.999991935200105,0.999991933217559,1.59469591680774,-0.00967733061550957
70,1,3.14992890650589,1.0549259505755e-07,1.00133991703283,1.00128115083207,0.999991757579534,0.999991755514216,1.61980301627007,-0.00989045618396966
71,1,3.3092788922296,5.21458361048879e-08,1.00135967591985,1.00129906842291,0.999991583941564,0.999991581792924,1.64386811664983,-0.0100988026577098
72,1,3.47669014495451,2.54007306143241e-08,1.00137860802861,1.0013161790185,0.99999141422623,0.999991411993825,1.66693115297247,-0.0103024420157416
73,1,3.652570471593,1.21932468024551e-08,1.0013967420809,1.00133251744509,0.999991248500597,0.999991246184339,1.68902649713432,-0.0105012938131033
74,1,3.83734830937247,5.77206241847449e-09,1.00141408988256,1.0013481193667,0.999991087410921,0.999991085012,1.71016795782124,-0.0106945826448768
75,1,4.03147376949077,2.69213053392666e-09,1.00143059123382,1.00136302899833,0.999990934386643,0.999990931911627,1.73028160321149,-0.0108781936211222
76,1,4.23541973356857,1.12981147884722e-09,1.00144594024917,1.00137733612655,0.999990806633606,0.999990804108294,1.74899392900707,-0.0110314818712376
77,2,0.104580366173633,3.11082589418164e-07,0.999114776348707,0.998639119753478,1.00000368402808,1.00000366576772,-1.05711171412907,0.00442092327237464
78,2,0.109870923627908,2.67337607369326e-07,0.999107265500871,0.99863907710646,1.00000364450427,1.00000362685171,-1.06603698602505,0.00437349278596955
79,2,0.115429122124197,4.78907435862521e-07,0.999097864809543,0.998639032178722,1.00000360284369,1.00000358590133,-1.07720695207599,0.00432349810295385
80,2,0.121268501204976,8.42862775549467e-07,0.999087791997115,0.998638985995409,1.00000355999311,1.00000354378151,-1.08917425406199,0.00427207537345708
81,2,0.127403285357036,1.45741054245806e-06,0.999077204718543,0.998638938678507,1.00000351606381,1.00000350059054,-1.10175135220163,0.00421935816372621
82,2,0.133848418661748,2.47589235299043e-06,0.999066101328732,0.998638890212272,1.0000034710399,1.00000345630985,-1.11493998685548,0.00416532739870856
83,2,0.14061960119823,4.132479827403e-06,0.999054454848168,0.998638840556585,1.00000342488293,1.0000034108998,-1.128771973645,0.00410993692936401
84,2,0.147733327288089,6.7767662949425e-06,0.999042233321615,0.998638789663575,1.00000337754712,1.00000336431355,-1.14328500887025,0.00405313183406975
85,2,0.155206925674913,1.09186798541548e-05,0.999029403261284,0.998638737479519,1.00000332898105,1.00000331649849,-1.15851857549073,0.00399485040267766
86,2,0.163058601736375,1.7284474492231e-05,0.999015930542706,0.998638683944257,1.00000327912701,1.00000326739555,-1.17451287585162,0.00393502338194018
87,2,0.171307481831781,2.68833115451265e-05,0.999001781011141,0.998638628990007,1.00000322791979,1.00000321693799,-1.19130810863525,0.00387357251683262
88,2,0.179973659893094,4.10820005871986e-05,0.998986921203739,0.998638572539862,1.00000317528515,1.00000316504979,-1.20894360892363,0.00381040872095006
89,2,0.189078246372927,6.16827808802141e-05,0.998971319309343,0.998638514505983,1.00000312113794,1.00000311164382,-1.22745670702875,0.00374542982644055
90,2,0.198643419668731,9.09956804089177e-05,0.99895494645935,0.998638454787422,1.00000306537992,1.00000305661958,-1.24688119579252,0.0036785179268195
91,2,0.208692480148459,0.000131893270336932,0.998937778463607,0.998638393267536,1.00000300789703,1.00000299986047,-1.26724527189247,0.00360953614693127
92,2,0.219249906909304,0.000187832053313726,0.998919798144314,0.998638329810872,1.00000294855615,1.00000294123056,-1.28856877082818,0.00353832475781246
93,2,0.230341417407767,0.000262822037582606,0.998900998476651,0.998638264259436,1.00000288720123,1.00000288057065,-1.31085944957061,0.00346469649139536
94,2,0.241994030106325,0.000361325193293907,0.998881386822496,0.998638196428185,1.00000282364852,1.00000281769354,-1.33410797947233,0.00338843084823903
95,2,0.254236130289292,0.0004880654598445,0.998860990657794,0.99863812609957,1.00000275768081,1.00000275237824,-1.35828117749643,0.00330926716380908
