parameter,value
mu_sigma_us_r1,-0.9710811550908153
rho_sigma_us_r1,0.9298783578867169
Sigma_sigma_us_r1,0.13172599958202366
mu_sigma_us_r2,-0.2531802781697459
rho_sigma_us_r2,0.4048768309197893
Sigma_sigma_us_r2,0.8495216312972905
P11,0.9857904533630395
P12,0.07741162961157964
P21,0.014209546636960502
P22,0.9225883703884202
