parameter,value
mu_sigma_us_r1,-0.48567978341284374
rho_sigma_us_r1,1.002078564614829
Sigma_sigma_us_r1,0.05276890313258405
mu_sigma_us_r2,-1.5931601780921572
rho_sigma_us_r2,0.7081092413957766
Sigma_sigma_us_r2,0.6555614311666462
P11,0.9813570869572324
P12,0.01864291304276749
P21,0.20316786453933464
P22,0.7968321354606652
