parameter,value
mu_sigma_us_r1,-1.397793391461035
rho_sigma_us_r1,0.9966862720220322
Sigma_sigma_us_r1,0.02370690566905192
mu_sigma_us_r2,-1.1671295671556312
rho_sigma_us_r2,0.1687352283850565
Sigma_sigma_us_r2,0.5740582665990964
P11,0.9906015234793977
P12,0.009398476520602328
P21,0.07816747948063552
P22,0.9218325205193645
