parameter,value
mu_sigma_us_r1,-0.2801883093604864
rho_sigma_us_r1,0.9867471570200668
Sigma_sigma_us_r1,0.03507757476029536
mu_sigma_us_r2,-0.468739018281626
rho_sigma_us_r2,0.33552235087302507
Sigma_sigma_us_r2,0.6000177258323531
P11,0.9859674871111834
P12,0.014032512888816538
P21,0.13174685447823992
P22,0.8682531455217601
