sigma_us_sim,state_us_sim
-0.6400041757450792,1
0.32999958969652926,1
-0.5190836297347511,1
-0.6863641274326254,1
2.0815052350734806,1
1.4740340166653496,1
-1.6755986440810648,1
-1.7010074001601236,1
-0.26292181437528556,1
1.5204944129600488,1
0.4185691263342251,1
-0.4280867613352323,1
0.3879697628134691,1
0.9307917182014495,1
-1.1189524399900392,1
1.3323628251073985,1
0.34211510715492693,1
-0.5973767131238202,1
-0.3906982913314002,1
0.9670466118019904,1
-1.287620581610436,1
-1.229461976935057,1
1.0359887455367085,1
0.5366222855910293,1
-2.4548612168853166,1
-0.2722423207644155,1
0.28303660093391153,1
-0.3246503449674585,1
-0.4034975749280652,1
-1.053060480755011,1
1.5044215260135796,1
-0.17676591101240846,1
-0.9476414273300451,1
-1.5041922795075024,1
-1.2355169065563596,1
0.34026681080731275,1
-0.19076600742750757,1
-0.4084218337859628,1
-0.5852019042894122,1
0.8292864532807693,1
-1.1222616126676386,1
-0.14392072263030026,1
-0.9407878786098625,1
2.048574628336069,1
-0.2766847567865181,1
0.9034685267145862,1
0.03070619347972392,1
0.9407210037365463,1
-0.5468248164188778,1
-0.040298907147142425,1
-1.6333917053238127,1
0.4598898757872419,1
1.464066286610749,1
-0.0738867843867717,1
-2.3053451170942747,1
1.3974660873029652,1
-1.2779139021773365,1
1.5226139456336285,1
-0.265500585093197,1
0.0756128270632369,1
-0.6842397559040503,1
-0.1942200334243275,1
-0.6833273690228422,1
1.8714119591919578,1
-0.18261855107310557,1
0.45495145185634345,1
0.30791876817366887,1
-0.8344738550167818,1
-0.6362180000422005,1
-0.4481701817536887,1
0.5222957957111488,1
-0.2927008793427419,1
-1.9306391241716616,1
-0.6378813973476051,1
-1.8539365105270627,1
-0.06754130346364347,1
0.15216216305871139,1
-0.42769043714017774,1
-1.0206214529521243,1
-1.2025250238966194,1
-0.6038762604821881,1
-1.2398763830588568,1
0.908963748793348,1
-0.23904643916281132,1
-0.15129325841609614,1
1.9996561218124245,1
-0.5332275062467402,1
-1.6649035058632915,1
-0.6054194789379094,1
0.8341677389467533,1
1.1346770676433329,1
-0.30902162636750125,1
0.8641983063391482,1
-0.9664696595059837,1
0.4752258133897016,1
0.21360517725126082,1
-0.24499818782012148,1
-1.6881018857330743,1
-1.2694477991674138,1
-2.249368054982521,1
0.1674113655905298,1
0.06286286271455978,1
0.5048051527682235,1
0.5606999937299085,1
0.5384000735936825,1
0.4696875516303702,1
0.4209917991000187,1
-3.2949441938151383,1
-1.0918283935732926,1
0.564145418801253,1
0.7309843039941272,1
0.8502136312191868,1
-0.5602238787929288,1
0.1176880310648209,1
1.1708733257652308,1
